"","IdNIL","NIL","Area","Population","Pop_density","N_Hospitals","N_Hospital_beds","N_Stations","N_Uni_campus","N_Uni_headquarters","N_Schools","N_Schools_students","N_Hotels","N_Hotels_rooms","N_Hotels_beds"
"1","1","DUOMO",2.34161556588667,16889,7212.54173658726,0,0,0,13,2,9,3164,35,2892,5518
"2","2","BRERA",1.63733291592846,18501,11299.4735646103,1,314,0,0,0,7,1412,13,883,1675
"3","3","GIARDINI P.TA VENEZIA",0.249637389265983,39,156.226597765154,0,0,0,0,0,0,0,1,124,222
"4","4","GUASTALLA",1.54796225820417,15176,9803.85659893676,2,1005,0,1,0,17,3796,6,244,472
"5","5","PORTA VIGENTINA - PORTA LODOVICA",1.13519641094762,13716,12082.4906313352,1,372,0,4,1,3,1051,4,302,551
"6","6","PORTA TICINESE - CONCA DEL NAVIGLIO",1.25501731436439,19747,15734.4442773692,0,0,0,0,0,8,2626,3,153,262
"7","7","MAGENTA - S. VITTORE",1.39009433656208,17874,12858.1201504678,1,323,1,0,0,11,3439,4,249,428
"8","8","PARCO SEMPIONE",0.470420284636933,2,4.25151734590609,0,0,0,0,0,0,0,0,0,0
"9","9","PORTA GARIBALDI - PORTA NUOVA",0.785638412354173,5726,7288.34017018336,0,0,1,0,0,0,0,8,780,1478
"10","10","STAZIONE CENTRALE - PONTE SEVESO",1.55601874978385,19335,12425.9428125052,0,0,2,0,0,8,1458,50,4389,7988
"11","11","ISOLA",1.32288711576507,23132,17485.99689598,1,156,0,0,0,4,1501,2,152,293
"12","12","MACIACHINI - MAGGIOLINA",1.67491762772352,26175,15627.6341992866,0,0,0,0,0,0,0,1,109,218
"13","13","GRECO - SEGNANO",1.76860261006837,15862,8968.66255296707,0,0,0,0,0,0,0,2,153,306
"14","14","NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI",4.24680495812931,36896,8687.94313931772,2,1080,0,0,0,3,1076,3,437,864
"15","15","BICOCCA",1.52949833245414,8677,5673.10196806649,1,139,0,7,1,0,0,2,350,646
"16","16","GORLA - PRECOTTO",3.00191855417484,29529,9836.70924680262,0,0,1,0,0,0,0,3,203,403
"17","17","ADRIANO",2.43335750888075,17508,7194.99700972957,0,0,0,0,0,0,0,1,13,24
"18","18","CIMIANO - ROTTOLE - Q.RE FELTRE",4.9714191765996,19703,3963.25461605445,0,0,0,4,1,6,3750,2,254,509
"19","19","PADOVA - TURRO - CRESCENZAGO",2.06186745029883,37531,18202.431002323,1,196,0,0,0,4,956,6,564,1010
"20","20","LORETO - CASORETTO - NOLO",1.74749947028729,45456,26012.0250523035,0,0,1,0,0,7,2315,9,205,383
"21","21","BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE",2.87743351299321,62438,21699.1981632443,0,0,2,1,0,4,3665,58,2508,4398
"22","22","CITTA' STUDI",2.20740406591144,36393,16486.7867020863,3,797,0,11,1,5,1479,9,276,445
"23","23","LAMBRATE - ORTICA",3.09394746789099,11515,3721.78264805811,0,0,0,0,0,6,2436,0,0,0
"24","24","PARCO FORLANINI - CAVRIANO",2.92600611700995,2656,907.721957435323,0,0,0,0,0,0,0,1,7,18
"25","25","CORSICA",1.0812888607873,19709,18227.3217775032,0,0,0,0,0,1,823,2,26,45
"26","26","XXII MARZO",1.63743781439176,31990,19536.6197841736,2,182,0,0,0,4,1600,11,241,445
"27","27","PTA ROMANA",1.00275560029223,16700,16654.1079353066,0,0,0,0,0,0,0,7,424,782
"28","28","UMBRIA - MOLISE - CALVAIRATE",1.19235166943667,23043,19325.67428776,0,0,1,0,0,2,1606,1,40,71
"29","29","ORTOMERCATO",1.40246665479705,4290,3058.89625633973,0,0,0,0,0,0,0,1,30,40
"30","30","TALIEDO - MORSENCHIO - Q.RE FORLANINI",3.82120981952134,19422,5082.68347390379,0,0,0,0,0,2,1287,2,263,524
"31","31","MONLUE' - PONTE LAMBRO",2.62901760653233,5311,2020.14622755045,2,285,0,0,0,0,0,0,0,0
"32","32","TRIULZO SUPERIORE",1.38957823192359,1698,1221.95351149785,0,0,0,0,0,0,0,0,0,0
"33","33","ROGOREDO - SANTA GIULIA",1.20011638121896,10265,8553.3371268325,0,0,0,0,0,0,0,0,0,0
"34","34","CHIARAVALLE",0.309494189940147,1041,3363.55264117016,0,0,0,0,0,0,0,1,9,18
"35","35","LODI - CORVETTO",3.63895486998196,36362,9992.42950220492,0,0,1,0,0,1,39,3,287,525
"36","36","SCALO ROMANA",1.73668883187602,12772,7354.22475550979,0,0,1,0,0,1,790,3,93,178
"37","37","MORIVIONE",0.817945789812052,7834,9577.6518414504,0,0,0,0,0,0,0,3,98,161
"38","38","VIGENTINO - Q.RE FATIMA",1.85316340593923,14873,8025.73585919801,0,0,0,0,0,0,0,0,0,0
"39","39","QUINTOSOLE",1.05852510451382,925,873.857404095156,0,0,0,0,0,0,0,0,0,0
"40","40","RONCHETTO DELLE RANE",0.18886344696488,741,3923.46963855739,0,0,0,0,0,0,0,0,0,0
"41","41","GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE",3.3164476607359,18801,5669.01755230118,0,0,0,0,0,3,646,0,0,0
"42","42","STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA",3.23211517291719,30215,9348.36736425114,0,0,0,0,0,6,2082,3,95,172
"43","43","TIBALDI",0.786184597773451,11664,14836.210265418,0,0,0,0,0,0,0,3,106,176
"44","44","PORTA TICINESE - CONCHETTA",1.48387185054374,17257,11629.7104724215,0,0,1,0,0,2,742,2,58,92
"45","45","MONCUCCO - SAN CRISTOFORO",1.59611378282503,13770,8627.20449392266,0,0,0,4,1,0,0,1,87,174
"46","46","BARONA",2.00624874042707,16988,8467.54425694182,1,474,0,0,0,0,0,0,0,0
"47","47","CANTALUPA",0.926681684731089,515,555.746388954958,0,0,0,0,0,0,0,1,87,174
"48","48","RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO",2.40630607896987,14627,6078.61158139191,0,0,0,0,0,0,0,1,51,100
"49","49","GIAMBELLINO",1.9682847445452,31585,16046.9668260819,0,0,1,0,0,1,63,0,0,0
"50","50","PORTA GENOVA",0.996748686649326,15078,15127.1832127377,0,0,0,0,0,0,0,5,480,911
"51","51","PORTA MAGENTA",1.30640139670374,27016,20679.7084480816,1,112,0,0,0,0,0,5,427,811
"52","52","BANDE NERE",2.66378019713002,44576,16734.1134407511,0,0,0,0,0,5,1151,0,0,0
"53","53","LORENTEGGIO",2.64433810122776,14220,5377.52717528734,0,0,0,0,0,3,1076,1,128,242
"54","54","MUGGIANO",0.44420165672426,3121,7026.08815783272,0,0,0,0,0,0,0,0,0,0
"55","55","BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA",3.47175007328193,30017,8646.07168327189,0,0,0,0,0,1,375,0,0,0
"56","56","FORZE ARMATE",3.20678282175854,24520,7646.29267489767,1,489,0,0,0,2,977,0,0,0
"57","57","SAN SIRO",0.984888277851499,26917,27330.0034179699,1,143,0,0,0,2,1731,2,156,269
"58","58","DE ANGELI - MONTE ROSA",1.32302857601552,21400,16175.0096618843,0,0,0,0,0,2,1085,10,643,1143
"59","59","TRE TORRI",0.513296941042073,2187,4260.69166817953,0,0,0,0,0,0,0,1,29,50
"60","60","STADIO - IPPODROMI",3.43517750657979,12783,3721.20508343899,2,173,0,0,0,2,823,1,149,298
"61","61","QUARTO CAGNINO",0.986354212655038,9958,10095.7646576024,0,0,0,0,0,0,0,1,310,620
"62","62","QUINTO ROMANO",1.64579743552639,4771,2898.89867186119,0,0,0,0,0,0,0,1,18,33
"63","63","FIGINO",1.4246600739679,2312,1622.84326082131,0,0,0,0,0,0,0,0,0,0
"64","64","TRENNO",0.489692082833193,4099,8370.56620618526,0,0,0,0,0,0,0,0,0,0
"65","65","Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO",3.89567931339555,32669,8385.95720332151,0,0,0,0,0,4,3378,1,15,25
"66","66","QT 8",1.02439865335568,4140,4041.39539469168,0,0,0,0,0,0,0,0,0,0
"67","67","PORTELLO",0.909602218744835,8524,9371.12929623491,1,117,0,0,0,1,369,3,268,528
"68","68","PAGANO",1.28968556192413,17708,13730.4785932323,1,261,0,0,0,3,1528,4,173,294
"69","69","SARPI",1.81184604976458,31028,17125.0752811099,1,176,1,0,0,4,2644,12,906,1684
"70","70","GHISOLFA",1.0514124707132,17975,17096.0498383732,0,0,0,0,0,0,0,5,116,196
"71","71","VILLAPIZZONE - CAGNOLA - BOLDINASCO",3.42694096378732,41468,12100.5877948277,1,60,0,0,0,1,847,8,862,1616
"72","72","MAGGIORE - MUSOCCO - CERTOSA",3.03031082275379,6265,2067.4446835479,0,0,0,0,0,0,0,1,80,120
"73","73","CASCINA MERLATA",1.73063961065961,856,494.614820282397,0,0,0,0,0,0,0,0,0,0
"74","74","ROSERIO",0.707630075185786,262,370.249950062132,1,474,0,0,0,0,0,0,0,0
"75","75","STEPHENSON",0.560084432580851,118,210.682520591154,0,0,0,0,0,0,0,3,557,1096
"76","76","QUARTO OGGIARO - VIALBA - MUSOCCO",2.77687219589658,30729,11066.047636405,0,0,1,0,0,4,1561,0,0,0
"77","77","BOVISA",1.9130603800404,13986,7310.79904529968,0,0,2,3,0,1,50,3,117,197
"78","78","FARINI",1.01019274394783,3911,3871.53840040053,0,0,1,0,0,0,0,1,13,22
"79","79","DERGANO",1.35856366975905,23147,17037.8470404006,0,0,0,0,0,3,643,3,138,263
"80","80","AFFORI",2.07081552650438,25341,12237.2078418673,0,0,1,0,0,0,0,3,127,230
"81","81","BOVISASCA",1.57802764941286,7037,4459.36419594313,0,0,1,0,0,5,1803,0,0,0
"82","82","COMASINA",0.926681571062506,9616,10376.8115178708,0,0,0,0,0,0,0,0,0,0
"83","83","BRUZZANO",1.67044013198554,12889,7715.93052226284,1,364,1,0,0,0,0,1,307,614
"84","84","PARCO NORD",1.53233100357503,98,63.9548503367481,0,0,0,0,0,0,0,0,0,0
"85","85","PARCO DELLE ABBAZIE",13.7338405047802,446,32.4745288722965,1,286,0,0,0,0,0,0,0,0
"86","86","PARCO DEI NAVIGLI",3.62314941364468,297,81.9728821785561,0,0,0,0,0,0,0,0,0,0
"87","87","ASSIANO",5.8409417108857,319,54.6144809843733,0,0,0,0,0,0,0,2,75,150
"88","88","PARCO BOSCO IN CITTA'",7.8340061151668,596,76.0785722194078,0,0,0,0,0,0,0,1,236,437
